[1.14-13.82] 维维维能听到吗,同学们,电脑的桌面能看到吗,电脑的桌面可以看到吗?
[2799.28-2801.28] 这个小时跟这个小时
[2801.28-2803.28] 都没有超过这个小时
[2803.28-2806.28] 下跌的开盘价
[2806.28-2807.28] 那你说是强势弱
[2807.28-2809.28] 来回答我一下
[2809.28-2813.97] 老师文档能发群里吗
[2813.97-2814.97] 如果我做文档了
[2814.97-2817.97] 可以给大家发群里
[2817.97-2822.34] 可以给大家发群里
[2822.34-2825.34] 对 可以给大家发群里
[2825.34-2827.34] 龙贤说老师喝口水再讲
[2827.34-2828.34] 不能累着了
[2828.34-2830.34] 行 龙贤对
[2830.34-2831.34] 在直播间也经常见到
[2831.34-2832.34] 说你们这些名称
[2832.34-2833.34] 看我经常会见你们的名字
[2833.34-2835.34] 一路风景啊 是吧
[2835.34-2838.34] 清澈如水啊
[2838.34-2840.34] 雨寒啊 是吧
[2840.34-2842.34] 大灰啊 弱是吧
[2842.34-2848.53] 所以说
[2848.53-2849.53] 你看到了那两根
[2849.53-2851.53] 那两根K线图
[2851.53-2853.53] 就是我们所说的这个
[2853.53-2856.53] 15号早晨开盘的那一根
[2856.53-2858.53] 就昨天 包括15号
[2858.53-2861.53] 昨天上午的第二根
[2861.53-2862.53] 昨天上午的第二根
[2862.53-2864.53] 都没有超过
[2864.53-2865.53] 多少号啊
[2865.53-2867.53] 9月14号的
[2867.53-2869.53] 尾盘的那一根K线图
[2869.53-2870.53] 说明15号
[2870.53-2873.53] 整个上午半天都白干了
[2873.53-2874.53] 上午半天是什么呢
[2874.53-2876.53] 叫又多行情
[2876.53-2877.53] 又多
[2877.53-2879.53] 吸引很多小白
[2879.53-2881.53] 小韭菜要干净过来买吧
[2881.53-2883.53] 干净过来买吧
[2883.53-2885.53] 离人未归啊
[2885.53-2887.53] 这个能懂吧
[2887.53-2889.53] 所以说15号
[2889.53-2890.53] 上午这两个小时
[2890.53-2892.53] 不是一小时一根吗
[2892.53-2894.53] 15号上午9点半到10点半
[2894.53-2896.53] 10点半到11点半
[2896.53-2899.53] 没有超过14号尾盘的
[2899.53-2900.53] 这一根
[2900.53-2903.53] 没有超过14号尾盘的那一根
[2903.53-2915.26] 没有超过14号尾盘的那一根
[2915.26-2917.26] 没有超过这一根
[2917.26-2919.26] 因为15号上午的9点半
[2919.26-2920.26] 11点半
[2920.26-2922.26] 没有超过14号尾盘的那根
[2922.26-2924.26] 所以说我在直播
[2924.26-2925.26] 下午直播的时候
[2925.26-2927.26] 我就说上午的那一波反弹
[2927.26-2929.26] 这是个假象
[2929.26-2930.26] 你们如果有印象
[2930.26-2931.26] 看我15号直播的话
[2931.26-2933.26] 我就严格的给你们说
[2933.26-2935.26] 这是个假象
[2935.26-2936.26] 因为假象
[2936.26-2939.26] 如果他在这根超过了14号
[2939.26-2941.26] 这根的位置
[2941.26-2943.26] 非常光头光角
[2943.26-2944.26] 一定是个真相
[2944.26-2947.26] 之所以他没有超过14号
[2947.26-2948.26] 下午3点钟
[2948.26-2950.26] 2点到3点的一根
[2950.26-2952.26] 就说明是个假象
[2952.26-2953.26] 这个假象谁参与
[2953.26-2954.26] 谁就上当了
[2954.26-2956.26] 谁参与
[2956.26-2957.26] 谁就上当了
[2957.26-2958.26] 能听懂的打个懂
[2958.26-2959.26] 所以说
[2959.26-2963.26] 15号的下午直接给你下来了
[2963.26-2965.26] 就别说今天16号了
[2965.26-2966.26] 肯定还会不好
[2966.26-2968.26] 军线也发生改变了
[2968.26-2970.26] K线图形也是不好的
[2970.26-2972.26] 这都是往系里扣
[2972.26-2974.26] 越细越好
[2974.26-2975.26] 那你们就知道
[2975.26-2978.26] 接下来市场是什么样子了
[2978.26-2981.60] 你们就知道
[2981.60-2983.60] 接下来市场是什么样子了
[2983.60-2985.60] 这个能懂了吗
[2985.60-2987.60] 这个逻辑能听懂的打个懂
[2987.60-2990.91] 我们这一块就先过去了
[2990.91-2991.91] 老师的讲解
[2991.91-2993.91] 东西全谈
[2993.91-2994.91] 你就能知道
[2994.91-2995.91] 这两天到底是怎么回事了
[2995.91-2996.91] 也不是说
[2996.91-2997.91] 上午那一反弹
[2997.91-2999.91] 就在15号
[2999.91-3000.91] 你们昨天听我直播的
[3000.91-3001.91] 上午就这一波反弹
[3001.91-3003.91] 很多大为都说OK
[3003.91-3004.91] 怎么说呢
[3004.91-3006.91] 要处理反弹
[3006.91-3007.91] 调整结束
[3007.91-3008.91] 我看很多大为都说
[3008.91-3009.91] 调整结束了
[3009.91-3010.91] 结束什么呀
[3010.91-3011.91] 一点都没有结束
[3011.91-3012.91] 对不对
[3012.91-3013.91] 你追进去
[3013.91-3015.91] 直接扣你
[3015.91-3017.91] 就是要做细节
[3017.91-3018.91] 这回都明白了吧
[3018.91-3020.91] 所以说我们亏钱
[3020.91-3021.91] 起码要亏在哪里
[3021.91-3023.91] 我们自己亏的明白
[3023.91-3025.91] 下次不犯错误了
[3025.91-3026.91] 你们就会更明白
[3026.91-3027.91] 更清楚
[3027.91-3033.72] 这回你们终于知道了
[3033.72-3034.72] 在9月15号
[3034.72-3036.72] 上午那半天的反弹
[3036.72-3037.72] 是个假象了
[3037.72-3039.72] 小白懂了是吧
[3039.72-3041.72] 好的
[3041.72-3042.72] 对
[3042.72-3044.72] 你再看K线的走势
[3044.72-3045.72] 你都知道下一秒
[3045.72-3046.72] 会发生什么
[3046.72-3048.72] 你也会成为诸葛亮
[3048.72-3050.72] 你也会神奇妙算
[3050.72-3052.72] 老师这意味着必须小时线
[3052.72-3053.72] 收盘才能确认
[3053.72-3054.72] 对
[3054.72-3055.72] 以小时
[3055.72-3056.72] 来看下一小时的变化
[3056.72-3057.72] 因为一天
[3057.72-3060.72] 总共就四个小时
[3060.72-3061.72] 一天就四个小时
[3061.72-3063.72] 所以说小时线的变化
[3063.72-3064.72] 特别能决定
[3064.72-3066.72] 下一小时的变化
[3066.72-3069.72] 好比说是这一小时
[3069.72-3071.72] 9月14号下午
[3071.72-3072.72] 两点钟那个小时
[3072.72-3075.72] 已经出现了青盆大雨
[3075.72-3076.72] 乌云盖顶了
[3076.72-3078.72] 那这个时候就要离场了
[3078.72-3079.72] 如果你不离场的话
[3079.72-3081.72] 下一个小时还是阴线
[3081.72-3082.72] 即便有反弹
[3082.72-3083.72] 你看
[3083.72-3085.72] 就是给你逃命的机会
[3085.72-3086.72] 因为超不过去
[3086.72-3087.72] 紧接着海底
[3087.72-3088.72] 即便有反弹
[3088.72-3089.72] 还超不过去
[3089.72-3090.72] 你看也是一样的
[3090.72-3092.72] 包括今天早晨
[3092.72-3094.72] 9点半开盘
[3094.72-3095.72] 形成了一个什么
[3095.72-3097.72] 倒锤线
[3097.72-3098.72] 锤子线
[3098.72-3100.72] 锤子线而且还有上引线
[3100.72-3102.72] 这不是一锤定音吗
[3102.72-3103.72] 也没有超过
[3103.72-3105.72] 也不是阳线
[3105.72-3106.72] 也没有超过
[3106.72-3108.72] 昨天15号的走势
[3108.72-3109.72] 所以说今天
[3109.72-3112.72] 上午的走势也不好
[3112.72-3113.72] 老师一般
[3113.72-3114.72] 大多数和航行
[3114.72-3115.72] 是不是都敢有
[3115.72-3116.72] 上午两个小时
[3116.72-3117.72] 对
[3117.72-3118.72] 没错
[3118.72-3119.72] 接下来
[3119.72-3123.72] 我还会再交给你看盘
[3123.72-3124.72] 关键就在
[3124.72-3125.72] 新线的收盘价
[3125.72-3126.72] 对吗
[3126.72-3127.72] 对
[3127.72-3128.72] 没有问题
[3128.72-3129.72] 以收盘来定价
[3129.72-3131.72] 盘中不算数
[3131.72-3134.72] 盘中不算数
[3134.72-3135.72] 所以说
[3135.72-3137.72] 这一波你们都懂了吧
[3137.72-3138.72] 包括今天早晨的
[3138.72-3140.72] 这个射击之星
[3140.72-3141.72] 没有形成星
[3141.72-3143.72] 这是一个倒锤线
[3143.72-3144.72] 有上引线都没有
[3144.72-3145.72] 怎么着
[3145.72-3146.72] 很好的
[3146.72-3147.72] 很好突破
[3147.72-3148.72] 而且这个倒锤线
[3148.72-3150.72] 也是10日军线
[3150.72-3151.72] 10日
[3151.72-3152.72] 叫10小时
[3152.72-3153.72] 在小时线里面
[3153.72-3154.72] 10小时
[3154.72-3155.72] 这个黄色的线
[3155.72-3156.72] 10小时
[3156.72-3157.72] 你看
[3157.72-3158.72] 10小时
[3158.72-3159.72] 黄色线也压制了
[3159.72-3160.72] 它再下来
[3160.72-3162.72] 所以这个属于什么
[3162.72-3164.72] 必须要控制好仓位
[3164.72-3165.72] 因为你不知道
[3165.72-3167.72] 接下来会发生什么
[3167.72-3169.72] 因为是单边式的
[3169.72-3171.72] 超过前面就好了
[3171.72-3172.72] 对
[3172.72-3173.72] 如果能超过
[3173.72-3174.72] 说明
[3174.72-3175.72] 有转机
[3175.72-3177.72] 叫转机的信号
[3177.72-3181.29] 叫转机的信号
[3181.29-3183.29] 这回都懂了吗
[3183.29-3184.29] 这回在看盘细节当中
[3184.29-3185.29] 起码都懂了
[3185.29-3186.29] 下一步怎么走
[3186.29-3187.29] 下一步怎么走
[3187.29-3189.29] 你们自己有个大概的印象了吧
[3189.29-3190.29] 小白起码也
[3190.29-3192.29] 应该知道个大概吧
[3192.29-3193.29] 所以说现在已经是
[3193.29-3194.29] 四连音了
[3194.29-3196.29] 小时线上四连音
[3196.29-3197.29] 已经出现了
[3197.29-3198.29] 我们称之为叫
[3198.29-3199.29] 四只乌鸦
[3199.29-3201.29] 也不叫三只乌鸦了
[3201.29-3202.29] 那这个时候
[3202.29-3203.29] 而且
[3203.29-3205.29] 我们在最后的一个小时
[3205.29-3207.29] 也是一个锤字线
[3207.29-3208.29] 最后的一个小时
[3208.29-3210.29] 也是一个锤字线
[3210.29-3211.29] 也是一个锤字线
[3211.29-3213.29] 说明光头
[3213.29-3214.29] 一个小的锤字线
[3214.29-3216.29] 在尾盘的时候
[3216.29-3220.57] 是一无反顾的往外跑
[3220.57-3222.57] 一无反顾的往外跑
[3222.57-3224.57] 这些人们都在往外跑
[3224.57-3225.57] 说明天
[3225.57-3228.57] 如果不出重大利好的情况
[3228.57-3229.57] 因为有的时候
[3229.57-3230.57] 政策面会影响
[3230.57-3231.57] 我们市场的波动
[3231.57-3232.57] 所以说明天
[3232.57-3235.57] 不出现大利好的情况下
[3235.57-3236.57] 一学就会
[3236.57-3237.57] 一事就废
[3237.57-3239.57] 不能这样子
[3239.57-3240.57] 你得总结
[3240.57-3241.57] 你得总结
[3241.57-3242.57] 对
[3242.57-3243.57] 我觉得在我这
[3243.57-3244.57] 学编实战
[3244.57-3246.57] 超过这种转机
[3246.57-3250.57] 不是说一定
[3250.57-3252.57] 对 超过是有转机
[3252.57-3255.57] 说得很对
[3255.57-3257.57] 我们最好是改成自己的
[3257.57-3258.57] 什么名字呢
[3258.57-3261.57] 我个人建议
[3261.57-3262.57] 我个人建议
[3262.57-3263.57] 你们改成自己的
[3263.57-3264.57] 对微信的名字
[3264.57-3265.57] 对是最好的
[3265.57-3266.57] 因为你看
[3266.57-3267.57] 你们经常有些名字
[3267.57-3268.57] 我不认识
[3268.57-3269.57] 我就不知道是不是
[3269.57-3270.57] 咱们泄漏了
[3270.57-3272.57] 咱们的房间密码
[3272.57-3274.57] 咱们这350人
[3274.57-3275.57] 基本都来了
[3275.57-3277.57] 可能有一两个没来的
[3277.57-3278.57] 早知道我们就
[3278.57-3279.57] 够该倾倉的了
[3279.57-3280.57] 所以说
[3280.57-3281.57] 这说得太好了
[3281.57-3283.57] 对 举一反三
[3283.57-3285.57] 从不看
[3285.57-3291.57] 从不盘看个股
[3291.57-3292.57] 对 所以说
[3292.57-3293.57] 这就是小时限上
[3293.57-3296.57] 明天听不太懂
[3296.57-3298.57] 有这么难吗
[3298.57-3300.57] 我们的真真同学
[3300.57-3301.57] 门窗病这是真真吧
[3301.57-3302.57] 可能有外人
[3302.57-3303.57] 对怎么一下来了
[3303.57-3304.57] 这么多人
[3304.57-3305.57] 我就说
[3305.57-3306.57] 不应该全部都上限
[3306.57-3308.57] 因为你们都知道
[3308.57-3309.57] 你们都知道
[3309.57-3310.57] 我们这个群里
[3310.57-3312.57] 就350人
[3312.57-3313.57] 我们这个群就300
[3313.57-3315.57] 还有管理呢
[3315.57-3316.57] 还有管理呢
[3316.57-3318.57] 还有一些其他的人呢
[3318.57-3321.57] 对 还有管理人员呢
[3321.57-3322.57] 对呀
[3322.57-3323.57] 他怎么可能就300
[3323.57-3324.57] 一下350了呢
[3324.57-3326.57] 从今天来这么多呢
[3326.57-3329.57] 肯定有人泄漏密码了
[3329.57-3333.57] 肯定有人泄漏密码了
[3333.57-3335.85] 是不是
[3335.85-3337.85] 门窗病是真真啊
[3337.85-3338.85] 行 我知道
[3338.85-3339.85] 我慢慢讲
[3339.85-3340.85] 慢慢听
[3340.85-3343.48] 有人泄漏密码了
[3343.48-3345.48] 我感觉
[3345.48-3346.48] 有人在群里问
[3346.48-3348.48] 只要有人买了
[3348.48-3349.48] 就去买
[3349.48-3352.48] 然后就着急
[3352.48-3353.48] 看回放
[3353.48-3354.48] 我也不大懂
[3354.48-3356.48] 老师都三个号
[3356.48-3359.48] 实名制
[3359.48-3361.48] 下次密码设置复杂点
[3361.48-3362.48] 这个密码
[3362.48-3364.48] 很多人都能猜出来吗
[3364.48-3366.48] 咱们885511
[3366.48-3367.48] 能猜出来吗
[3367.48-3368.48] 应该不会吧
[3368.48-3369.48] 有人把朋友带进来了
[3369.48-3371.48] 不能把朋友带进来啊
[3371.48-3373.48] 不能把朋友带进来啊
[3373.48-3374.48] 介绍朋友
[3374.48-3375.48] 咱们介绍到大群里
[3375.48-3376.48] 还能给我增加
[3376.48-3377.48] 这家人气啊
[3377.48-3379.48] 我60岁了都能听住
[3379.48-3380.48] 说明了大家
[3380.48-3382.48] 对老师的个很期待
[3382.48-3383.48] 行 也没问题
[3383.48-3384.48] 如果你第一次
[3384.48-3385.48] 把朋友带进来了
[3385.48-3386.48] 我也表示欢迎
[3386.48-3387.48] 因为我觉得
[3387.48-3388.48] 就怎么
[3388.48-3389.48] 我经常说
[3389.48-3390.48] 人要犯错误的时候
[3390.48-3391.48] 且饶人
[3391.48-3393.48] 我觉得在给人讲知识
[3393.48-3394.48] 传递能量的时候
[3394.48-3395.48] 我觉得
[3395.48-3396.48] 对
[3396.48-3397.48] 我也觉得是什么呢
[3397.48-3398.48] 因为你泄露密码
[3398.48-3399.48] 买的人越多
[3399.48-3401.48] 包括咱们给你们举的案例
[3401.48-3402.48] 包括给你们举的案例
[3402.48-3403.48] 买的人越多
[3403.48-3405.48] 其实对你自己越不好
[3405.48-3406.48] 就包括我们在大群
[3406.48-3408.48] 经常说一些股票似的
[3408.48-3409.48] 说的股票越多
[3409.48-3410.48] 买的人越多
[3410.48-3412.48] 其实对咱们自己
[3412.48-3413.48] 越不好
[3413.48-3414.48] 有内鬼
[3414.48-3416.48] 终止交易
[3416.48-3417.48] 应该是泄露密码了
[3417.48-3418.48] 不然的话
[3418.48-3419.48] 不会这么多人
[3419.48-3420.48] 因为我的管理
[3420.48-3422.48] 好几个管理
[3422.48-3423.48] 都在咱们的群里
[3423.48-3424.48] 应该不会有这么多人
[3424.48-3427.76] 我觉得
[3427.76-3428.76] 我用另一个微信号
[3428.76-3429.76] 能电脑登录的
[3429.76-3430.76] 不能这样
[3430.76-3431.76] 不能乱带人
[3431.76-3432.76] 如果都带人的话
[3432.76-3433.76] 咱们豈不就是
[3433.76-3435.76] 泄露天机了吗
[3435.76-3436.76] 对不对
[3436.76-3442.62] 所以说
[3442.62-3443.62] 我这名字
[3443.62-3446.62] 大家当怀
[3446.62-3448.62] 这个字件什么呢
[3448.62-3452.42] 这件层吗
[3452.42-3453.42] 我这个名字
[3453.42-3454.42] 大家也都知道吧
[3454.42-3455.42] 这个层吗
[3455.42-3456.42] 老师说的对
[3456.42-3458.42] 进去就是为了听这课
[3458.42-3460.42] 不来才叫有问题
[3460.42-3462.42] 少几个是对的
[3462.42-3463.42] 有人有事
[3463.42-3464.42] 不能乱带
[3464.42-3465.42] 好了
[3465.42-3466.42] 我们接着往下讲
[3466.42-3468.42] 接着往下讲
[3468.42-3477.86] 然后对快速阅读消息
[3477.86-3479.86] 快速阅读消息
[3479.86-3480.86] 大家一定要知道
[3480.86-3481.86] 政策面
[3481.86-3482.86] 行业
[3482.86-3483.86] 包括公司的消息
[3483.86-3484.86] 你还要知道
[3484.86-3485.86] 你手里的公司
[3485.86-3486.86] 统一
[3486.86-3488.86] 设置姓名加编号
[3488.86-3489.86] 对
[3489.86-3490.86] 手机看评论
[3490.86-3492.86] 每人排个序号
[3492.86-3493.86] 老师可以看回放吗
[3493.86-3494.86] 可以看回放
[3494.86-3495.86] 没问题
[3495.86-3496.86] 老师我笨听不太懂
[3496.86-3498.86] 五彩军线
[3498.86-3499.86] 五彩军线
[3499.86-3500.86] 就是五日线
[3500.86-3501.86] 十日线
[3501.86-3502.86] 二十军线
[3502.86-3503.86] 去找支撑
[3503.86-3504.86] 这一大块
[3504.86-3505.86] 统一设编号
[3505.86-3506.86] 你们设个编号
[3506.86-3508.86] 回头
[3508.86-3509.86] 怎么设编号
[3509.86-3511.86] 有点麻烦
[3511.86-3512.86] 不然的话
[3512.86-3515.86] 咱们总共就340多人
[3515.86-3516.86] 咱们今天
[3516.86-3518.86] 这家伙350人了
[3518.86-3519.86] 咱们群里去了管理
[3519.86-3521.86] 总共就340多人
[3521.86-3523.86] 有几个管理在
[3523.86-3525.86] 大家还不少
[3525.86-3526.86] 想好好下课了
[3526.86-3527.86] 要去接他了
[3527.86-3529.86] 可以看回放
[3529.86-3531.86] 所以说
[3531.86-3532.86] 所以说
[3532.86-3534.86] 这一下来的人挺多了
[3534.86-3535.86] 我觉得还挺意外的
[3535.86-3536.86] 所以说
[3536.86-3539.86] 快速的看你行业的消息
[3539.86-3541.86] 比如说你们在看
[3541.86-3543.86] 还有包括资讯里
[3543.86-3545.86] 包括F10里
[3545.86-3546.86] 财联社
[3546.86-3548.86] 给大家重点推荐一下
[3548.86-3549.86] 财联社
[3549.86-3550.86] 大家可以看他
[3550.86-3552.86] 所有的及时的消息
[3552.86-3553.86] 非常的不错
[3553.86-3555.86] 叫财联社
[3555.86-3556.86] 在群里先编号
[3556.86-3558.86] 老是就能排出来多余的了
[3558.86-3560.86] 是吗
[3560.86-3561.86] 可以
[3561.86-3562.86] 没问题
[3562.86-3564.86] 回头给你们编个号
[3564.86-3565.86] 给你们编个号
[3565.86-3566.86] 你们群里
[3566.86-3567.86] 对咱们这个群里
[3567.86-3568.86] 也有管理
[3568.86-3569.86] 也有管理在
[3569.86-3570.86] 管理可以帮我
[3570.86-3572.86] 群里不是354人吗
[3572.86-3573.86] 对的
[3573.86-3574.86] 群里354人
[3574.86-3576.86] 有我两个号
[3576.86-3577.86] 还有两个管理号
[3577.86-3578.86] 我觉得
[3578.86-3579.86] 这都已经
[3579.86-3581.86] 逃出去好几个号了
[3581.86-3582.86] 肯定不是这么多人
[3584.86-3585.86] 占小便一吃大亏
[3585.86-3587.86] 泄露秘密的
[3587.86-3588.86] 不铲子
[3588.86-3589.86] 爹没了
[3589.86-3591.86] 你们太多了
[3591.86-3592.86] 好了
[3592.86-3593.86] 我们看盘
[3593.86-3594.86] 比如看一只个骨
[3594.86-3595.86] 看消息
[3595.86-3596.86] 来我们说一下
[3596.86-3597.86] 随便的来一只
[3597.86-3599.86] 咱一万华化学伪利
[3599.86-3601.86] 一万华化学伪利
[3601.86-3602.86] 一万华化学伪利
[3602.86-3603.86] 一万华化学伪利
[3603.86-3605.86] 一万华化学伪利
[3605.86-3606.86] 一万华化学伪利
[3606.86-3607.86] 真相的
[3607.86-3608.86] 老师jähr哥
[3608.86-3609.86] 椅形间
[3609.86-3611.66] 老师 figure
[3611.66-3612.86]  cloth
[3612.86-3613.74] 我知道
[3613.74-3614.86] 谁�进来了
[3614.86-3615.86] 要有代号了
[3615.86-3616.86] 以后
[3616.86-3618.36] 你们有干
[3618.36-3619.96] 没大
[3619.96-3620.96] 怎么说呢
[3620.96-3621.86] 不
[3621.86-3622.46] 我们还是
[3622.46-3622.86] 杜绝不了
[3622.86-3625.14] 明天
[3625.14-3626.14] 群里
[3626.14-3627.14] 便
[3627.14-3628.14] 老师先讲
[3629.14-3630.14] 看支撑
[3630.14-3633.89] 不懂
[3633.89-3634.89] 慢慢来
[3634.89-3638.49] 那今天人也全到了那还真是挺挺奇怪的
[3638.49-3640.65] 我觉得应该不会都是咱们自己人
[3640.65-3644.25] 应该有一部分是被带进来的原则上应该是啊
[3644.25-3646.01] 原则上应该是啊
[3646.01-3647.85] 我看还有人分享了
[3647.85-3651.69] 我看刚才有人分享了直播间等等的啊
[3651.69-3654.41] 你说我们以万华化学为例
[3654.41-3655.93] 大家都熟悉这支票吧
[3655.93-3656.49] 熟悉吗
[3659.05-3661.49] 大家熟悉这支票老实说的精选的
[3661.49-3663.09] 老实说一说精选一块吃点了
[3663.09-3664.73] 对我就说一说精选的鱼
[3664.73-3665.65] 下面的课堂呢
[3665.65-3667.09] 我们再慢慢讲
[3667.09-3668.29] 再慢慢讲
[3668.29-3670.45] 咱们时间很长啊
[3670.45-3672.21] 不在乎一时半会
[3672.21-3674.25] 万华化学有印象吗
[3675.25-3676.53] 老是以双汇为例吧
[3676.53-3677.49] 嘿嘿嘿
[3677.49-3678.57] 那到底以哪个为例
[3678.57-3680.93] 你们说是以双汇为例
[3680.93-3682.73] 还是以万华化学为例
[3682.73-3683.97] 读一无二就没来
[3685.09-3694.66] 对读一无二没来
[3694.66-3697.34] 以谁为例熟悉买我都讲啊
[3697.34-3698.86] 万华化学呢
[3698.86-3700.14] 我们都知道啊
[3700.14-3702.10] 它是一家什么类型的公司呢
[3702.10-3704.14] 首先我们了解一下它的
[3704.14-3705.42] 它的那个基本面
[3708.18-3709.30] 小研报里边啊
[3709.30-3710.22] 咱们看一下啊
[3711.46-3712.10] 这是事件
[3713.74-3715.46] 进了万华双汇
[3715.46-3716.58] 以双汇为例
[3716.58-3717.66] 都会给你们讲得到
[3717.66-3719.38] 快速的给你们过一遍啊
[3719.38-3720.74] 快速的给过一遍
[3720.74-3721.94] 我们心里好有数
[3721.94-3722.70] OK
[3722.70-3724.82] 那我们都说最近涨价潮啊
[3724.82-3727.06] 是因为啊
[3727.06-3729.18] 我们我们最近的这个涨价潮啊
[3729.18-3731.46] 是因为李电池的缘故啊
[3731.46-3732.34] 涨价的
[3732.34-3733.50] 那李电池这里边
[3733.50-3736.66] 其实万华有李电池的相关的业务啊
[3736.66-3737.86] 有李电池相关的
[3737.86-3739.10] 还现在都350了
[3739.10-3740.22] 全部都来了
[3740.22-3741.94] 没有一个人没来的啊
[3741.94-3746.02] 我们群里总共就350人啊
[3746.02-3747.42] 多人不要太贪小便宜
[3748.34-3750.54] 我觉得群里还有好几个啊
[3750.54-3752.66] 群里还有好还有好几个
[3752.66-3754.62] 我的同学啊
[3754.62-3757.58] 群里有两有三个我的同学啊
[3757.58-3759.22] 是这个我的高中同学
[3759.22-3761.22] 他说那个冯老师
[3761.22-3762.66] 他们够叫冯老师
[3762.66-3765.18] 你能拉进你的群里吗
[3765.18-3765.34] 啊
[3765.34-3767.22] 群里有三个是我的同学
[3767.22-3768.54] 有两个啊
[3768.54-3771.94] 有两个是我的那个
[3771.94-3773.82] 之前的两个朋友
[3773.82-3774.66] 还有在群里的
[3774.66-3776.70] 因为他们都算是什么呢
[3776.70-3778.02] 自己人嘛啊
[3778.02-3779.02] 自己人啊
[3779.02-3781.66] 有有有三个同学
[3781.66-3783.14] 因为他们也做股票啊
[3783.14-3785.34] 他们想在群里得到一些信息
[3785.34-3786.22] 所以说
[3786.22-3787.46] 逃出这些人之外
[3787.46-3788.78] 我大概其实就知道
[3788.78-3790.98] 群里也就340人出点头
[3790.98-3792.58] 但今天350人了
[3792.58-3793.62] 有点抄了啊
[3793.62-3794.38] 有点抄了
[3795.66-3797.10] 不是干净走吧
[3797.10-3797.94] 我的妈呀
[3797.94-3800.66] 我们这个直播间的抄了10个人啊
[3800.66-3801.58] 至少在抄了10
[3801.58-3802.54] 他抄了十几个了
[3802.54-3803.90] 我觉得都不止吧
[3804.90-3807.72] 都不止啊
[3807.72-3808.92] 都不止啊
[3808.92-3810.12] 肯定抄了
[3810.12-3812.28] 因为群里我知道有几个我的同学
[3812.28-3813.96] 省他们应该比较忙
[3813.96-3816.40] 他们应该不会来啊
[3816.40-3817.16] 我们看一下
[3817.16-3818.96] 因为李电池的涨价朝呢
[3818.96-3820.72] 对于万华化学
[3820.72-3822.64] 还是有很大的刺激性效果的
[3822.64-3823.48] 第一个呢
[3823.48-3825.80] 就是我们看到了他布局了
[3825.80-3826.56] 什么呢
[3826.56-3827.28] 就布局了
[3827.28-3828.84] 这个林酸铁礼啊
[3828.84-3830.92] 林酸铁礼啊
[3830.92-3832.48] 林酸铁礼
[3834.12-3835.80] 林酸铁礼
[3835.80-3836.00] 哎呦
[3836.00-3836.96] 这个这么这么粗啊
[3842.02-3842.82] 林酸铁
[3844.18-3845.50] 布局了林酸铁礼
[3845.50-3846.98] 你们看一下啊
[3846.98-3849.26] 林酸铁礼是正级材料啊
[3849.26-3850.34] 包括什么呢
[3850.34-3851.74] 三元啊
[3852.86-3853.94] 三元李电池
[3853.94-3855.74] 林酸铁礼电池啊
[3855.74-3859.58] 这是最近涨价预期当中的一个最大的看点
[3859.58-3860.70] 你们想一想
[3860.70-3862.70] 按照他最近的
[3862.70-3864.14] 我给大家念一遍啊
[3864.14-3865.78] 我给大家念一遍
[3865.78-3867.38] 我是柔情四十的小号哈
[3867.38-3869.10] 好没问题
[3869.10-3870.54] 这家伙
[3870.54-3875.10] 群里总共真实的才能报名的同学
[3875.10-3877.98] 他总共就三百四十三百四吧
[3877.98-3879.50] 但是我的两个同学
[3879.50-3881.18] 然后有两个朋友
[3881.18-3882.26] 三个同学
[3882.26-3883.10] 有三个同学
[3883.10-3884.82] 然后有两个朋友
[3884.82-3887.38] 也是咱们调股的调股的朋友
[3887.38-3890.30] 然后大概再加上几个管理
[3890.30-3891.22] 没有这么多人啊
[3891.22-3893.06] 这下三百五十人很多的
[3893.06-3893.66] 明天再说吧
[3893.66-3894.82] 先听课
[3894.82-3895.54] 对
[3895.54-3896.94] 然后呢
[3896.94-3899.22] 万华化学旗下的啊
[3899.22-3902.58] 子公司万华化学四川的啊
[3902.58-3904.18] 粘产五万吨的
[3904.18-3906.10] 林酸铁礼电池
[3906.10-3907.98] 才正级材料啊
[3907.98-3911.02] 开始进行环境评估和公事了
[3911.02-3911.90] 公司呢
[3911.90-3913.94] 是在四川的尔梅山啊
[3913.94-3915.22] 这个高薪技术区啊
[3915.22-3916.02] 有五万吨
[3916.02-3919.74] 每年能产五万吨的林酸铁礼
[3919.74-3921.10] 那五万吨的林酸铁礼
[3921.10-3922.14] 盛甲项目啊
[3922.14-3925.42] 已经配套装饰已经开始实施了啊
[3925.42-3926.74] 不是群里有问题
[3926.74-3928.58] 现在直播有其他人
[3928.58-3932.26] 没有清微信的必要啊
[3932.26-3933.34] 直播有其他的人
[3933.34-3936.02] 没有清微信的必要
[3936.02-3936.58] 所以说呢
[3936.58-3939.02] 林酸铁礼与三元李电池
[3939.02-3940.62] 我觉得这个什么呀
[3940.62-3942.70] 知道的人越多是越不好的啊
[3942.70-3944.62] 知道的人越多越不好
[3944.62-3947.62] 那公司全面把握业务发展的金域
[3947.62-3950.10] 除了此次公事的五万吨粘产
[3950.10-3951.34] 林酸铁礼的啊
[3951.34-3952.54] 这个项目以外
[3952.54-3955.02] 在李电池正级材料方面
[3955.02-3957.66] 还同时在建有三元李电池的
[3957.66-3959.26] 正级材料项目啊
[3959.26-3959.98] 所以说
